Subject,Verb,Object
Мотря,промовила,-
Мотря,промовила,-
Мотря,глянула,мотовила
Мотря,витягла,обіді
Мотря,позбирала,дня
Мотря,намочила,лузі
Мотря,слухала,матері
Мотря,спекла,хліб
Мотря,зирнула,коника
Мотря,скипіла,-
Мотря,крикнула,-
Мотря,кинула,стіл
Мотря,сказала,-
Мотря,подумала,-
Мотря,задумала варити,день
Мотря,встала,дня
Мотря,сіла,собі
Мотря,затопила,печі
Мотря,знайшла,горщечки
Мотря,приставила,борщ
Мотря,одказала,-
Мотря,сказала,-
Мотря,покликала обідати,Карпа
Мотря,поставила,стіл
Мотря,зверетенилась,-
Мотря,стояла,стола
Мотря,дивилась,патьоки
Мотря,взяла,віник
Мотря,згорнула,черепки
Мотря,укинула,помийницю
Мотря,мовчала,-
Мотря,зціпила,зуби
Мотря,сміла варити,-
Мотря,давала,їй
Мотря,одганяла,її
Мотря,спала,сном
Мотря,посіяла,місці
Мотря,валькувала,стіни
Мотря,вимазала,хату
Мотря,одміряла,мотузком
Мотря,співала,злість
Мотря,гукала,-
Мотря,сіла,скрині
Мотря,промовила,-
Мотря,одділить,горшки
Мотря,думаєш одділитися,-
Мотря,народилась,часу
Мотря,пригнала,двір
Мотря,почула,слова
Мотря,крикнула,порога
Мотря,показала,кочергу
Мотря,причинила,двері
Мотря,любила,Мелашки
Мотря,підкопувалась,чогось
Мотря,недобра,Кайдашиху
Мотря,живе,сіни
Мотря,мовчить,-
Мотря,питала,Мелашки
Мотря,давала перейти,їй
Мотря,стерегла,сінях
Мотря,пропускала,Мелашки
Мотря,зачіпала,її
Мотря,побігла,бабою
Мотря,вибігла,хати
Мотря,крикнула,город
Мотря,побігла,прожогом
Мотря,репетувала,город
Мотря,вхопила,хворостину
Мотря,кинулась,двері
Мотря,крикнула,порозі
Мотря,гукнула,голосом
Мотря,брязнула,землю
Мотря,репетувала,-
Мотря,кричала,-
Мотря,вибігла,сіней
Мотря,побігла,город
Мотря,розперезалась,-
Мотря,почала міряти,-
Мотря,вигадала,сажень
Мотря,сказала,-
Мотря,сердита,-
Мотря,сказала,-
Мотря,сказала,-
Мотря,гукнула,-
Мотря,вдарила,кулаком
Мотря,сичала,-
Мотря,каже,правду
Мотря,зостались,дворі
Мотря,почула,це
Мотря,говорила,-
Мотря,плакала,злості
Мотря,вибігла,сіней
Мотря,вгляділа,порога
Мотря,крикнула,двір
Мотря,сказала,злістю
Мотря,ляснула,-
Мотря,сказала,-
Мотря,глянула,-
Мотря,роззявила,-
Мотря,кинулась,Мелашки
Мотря,почала видирати,-
Мотря,замахнулась,неї
Мотря,підняла,деркач
Мотря,махнула,Мотрю
Мотря,одскочила,призьби
Мотря,репетувала,-
Мотря,крикнула,-
Мотря,почала хапать,-
Мотря,втекла,причілок
Мотря,виглядала,вугла
Мотря,репетувала,-
Мотря,йде жити,мене
Мотря,кричала,-
Мотря,прибігла,волость
Мотря,почала розказувати,-
Мотря,стояла,-
Мотря,лазила,горищі
Мотря,збирала,гніздах
Мотря,обізвалась,добрість
Мотря,спустила,горища
Мотря,штовхнула,його
Мотря,штовхнула,його
Мотря,сісти,йому
Мотря,повисла,стіні
Мотря,держала,руці
Мотря,хотіла пускати,-
Мотря,були,пазусі
Мотря,боялась наробить,-
Мотря,держалась,бантину
Мотря,могла видертись,-
Мотря,зарепетувала,голосом
Мотря,теліпалась,стіні
Мотря,говорила,-
Мотря,кричала,хати
Мотря,говорила,хаті
Мотря,говорила,-
Мотря,говорила,таке
Мотря,крикнула,хати
Мотря,вискочила,хати
Мотря,поодиімала,дітей
Мотря,кинула,собакам
Мотря,вибігла,хати
Мотря,подивилась,-
Мотря,крикнула,-
Мотря,сказала,-
Мотря,сказала,-
Мотря,вибігла,хати
Мотря,закричала,-
Мотря,кричала,-
Мотря,верещала,-
Мотря,кричала,-
Мотря,гвалтувала,-
Мотря,вхопила,деркача
Мотря,сунула,держалном
Мотря,дала,сторчака
Мотря,репетувала,-
Мотря,голосила,-
Мотря,полізла,дня
Мотря,лежала,печі
Мотря,намагалась,-
Мотря,говорила,-
Мотря,гризла,голову
Мотря,любив говорити,-
Мотря,вибігла,-
Мотря,вгляділа,півня
Мотря,гукнула,тин
Мотря,говорила,-
Мотря,чіплялась,-
Мотря,кричала,-
Мотря,крикнула,вухом
Мотря,верещала,-
Мотря,крикнула,-
Мотря,оступилась,-
Мотря,угледіла,-
Мотря,ухопить,хворостину
Мотря,вперіщить,кабанчика
Мотря,вхопила,його
Мотря,перекинула,Лаврінів
Мотря,гукнула,угла
Мотря,стояла,хатою
Мотря,виглядала,Кайдашиху
Мотря,стояла,вуглом
Мотря,ждала,того
Мотря,вдарила,кулаком
Мотря,вхопила,півня
Мотря,витягла,борщу
Мотря,дала,драла
Мотря,вбігла,хату
Мотря,сунулась,Карпа
Мотря,сказала,-
Мотря,звеліла упіймать,часом
Мотря,вкинула,його
Мотря,вгляділа,кабана
Мотря,наробила,гвалту
Мотря,загнала,кабана
Мотря,зачинила,-
Мотря,гукнула,тин
Мотря,верни,мені
Мотря,кричала,дорогою
Мотря,гукнула,Кайдашихи
Мотря,виступала,хати
Мотря,схожа,швайку
Мотря,крикнула,-
Мотря,репетувала,-
Мотря,кричала,Мелашки
Мотря,кричала,-
Мотря,кричала,людей
Мотря,кричала,-
Мотря,кричала,-
Мотря,покинула,кілки
Мотря,оступилась,тину
Мотря,кричала,двору
Мотря,вибила,мені
Мотря,втопив,мене
Мотря,крикнула,небожів
Мотря,кинулась,кропиви
Мотря,обізвалась,те
Мотря,говорила,-
Мотря,кричала,-
Мотря,вискочила,дубцем
Мотря,побила,дітям
Мотря,частувала,їx
Мотря,ганяла,дітей
Мотря,вибігла,коцюбою
Мотря,побила,дітей
Мотря,пооднімала,груші
Мотря,лупила,коцюбою
