Персонаж,Лема,Тональність
Мотря,опустити,0.0
Мотря,задріботіти,0.0
Мотря,де,0.0
Мотря,пожартувати,0.0
Мотря,промовити,1.0
Мотря,лупити,0.0
Мотря,нахилитися,0.0
Мотря,бачити,1.5
Мотря,пригнати,0.0
Мотря,цуратися,-0.8
Мотря,сіпнути,0.0
Мотря,говорити,1.0
Мотря,як,0.0
Мотря,боятися,-1.25
Мотря,наробити,0.2
Мотря,зарепетувати,0.0
Мотря,валькувати,0.0
Мотря,теліпатися,0.0
Мотря,посіяти,0.0
Мотря,спати,1.25
Мотря,тоді,0.0
Мотря,давати,1.38
Мотря,варити,0.0
Мотря,сміти,0.0
Мотря,вискочити,0.0
Мотря,зверетенитися,0.0
Мотря,пропускати,-1.2
Мотря,закричати,0.0
Мотря,блідий,-0.4
Мотря,прибиратися,0.0
Мотря,обідати,1.0
Мотря,покликати,0.0
Мотря,рано,-0.13
Мотря,зирнути,0.0
Мотря,спекти,0.0
Мотря,раз,0.25
Мотря,верещати,0.0
Мотря,підняти,0.8
Мотря,держати,0.0
Мотря,побігти,0.4
Мотря,там,0.0
Мотря,сісти,0.4
Мотря,гукати,0.0
Мотря,повиснути,0.0
Мотря,одділити,0.0
Мотря,лазити,-0.5
Мотря,штовхнути,-0.8
Мотря,втекти,-0.88
Мотря,слідком,0.0
Мотря,народитися,1.5
Мотря,одскочити,0.0
Мотря,угору,0.0
Мотря,ладний,0.0
Мотря,голосніше,0.0
Мотря,співати,0.88
Мотря,прибігти,0.0
Палажка,навчати,0.88
Палажка,почути,1.13
Палажка,сказати,0.88
Палажка,говорити,1.0
Палажка,посвітити,0.0
Палажка,вийти,0.5
Палажка,обізватися,0.0
Палажка,встати,0.0
Палажка,надвечір,0.0
Палажка,привести,0.2
Палажка,повести,0.4
Палажка,водити,0.4
Палажка,гордовито,0.0
Палажка,плакати,-1.38
Палажка,заходити,0.5
Палажка,обертатися,0.2
Палажка,закричати,0.0
Палажка,як,0.0
Палажка,сісти,0.4
Палажка,завести,0.4
Палажка,десь,0.0
Палажка,лаятися,0.0
Палажка,почати,1.0
Палажка,обійти,0.4
Палажка,сидіти,0.38
Палажка,вернутися,0.0
Палажка,питати,0.6
Палажка,крикнути,-0.8
Палажка,покинути,-1.0
Палажка,поперти,0.0
Палажка,промовити,1.0
Палажка,раяти,0.0
Палажка,кидатися,-0.8
Палажка,стулити,0.0
Палажка,дражнитися,0.0
Параска,вхопити,0.0
Параска,назирець,0.0
Параска,здалека,0.0
Параска,розказати,-0.2
Параска,сказати,0.88
Параска,піти,-0.38
Параска,вернутися,0.0
Параска,здалеки,0.0
Параска,прийти,0.25
Параска,йти,1.25
Параска,знов,0.0
Параска,говорити,1.0
Параска,кричати,-1.5
Параска,оддалеки,0.0
Параска,одскочити,0.0
Параска,намовляти,0.0
Параска,крикнути,-0.8
